rx,ry,rtheta,hx1,hy1,hx2,hy2
1.47006,6.11561,1.48,4,14.65,9,3.05
1.47096,6.12557,1.48,4,14.8,9,3.2
1.47187,6.13553,1.48,4,14.95,9,3.35
1.47278,6.14549,1.48,4,15.1,9,3.5
1.47368,6.15545,1.48,4,15.25,9,3.65
1.47459,6.16541,1.48,4,15.4,9,3.8
1.4755,6.17537,1.48,4,15.55,9,3.95
1.4764,6.18532,1.48,4,15.4,9,4.1
1.47731,6.19528,1.48,4,15.25,9,4.25
1.47822,6.20524,1.48,4,15.1,9,4.4
1.47912,6.2152,1.48,4,14.95,9,4.55
1.48003,6.22516,1.48,4,14.8,9,4.7
1.48094,6.23512,1.48,4,14.65,9,4.85
1.48184,6.24508,1.48,4,14.5,9,5
1.48275,6.25504,1.48,4,14.35,9,5.15
1.48547,6.28491,1.49,4,14.2,9,5.3
1.48789,6.31481,1.5,4,14.05,9,5.45
1.49001,6.34474,1.51,4,13.9,9,5.6
1.49123,6.3647,1.52,4,13.75,9,5.75
1.49225,6.38468,1.53,4,13.6,9,5.9
1.49306,6.40466,1.54,4,13.45,9,6.05
1.49337,6.41465,1.54,4,13.3,9,6.2
1.49368,6.42465,1.54,4,13.15,9,6.35
1.49398,6.43465,1.54,4,13,9,6.5
1.49429,6.44464,1.55,4,12.85,9,6.65
1.4945,6.45464,1.55,4,12.7,9,6.8
1.49471,6.46464,1.55,4,12.55,9,6.95
1.49492,6.47463,1.55,4,12.4,9,7.1
1.49512,6.48463,1.55,4,12.25,9,7.25
1.49533,6.49463,1.55,4,12.1,9,7.4
1.49554,6.50463,1.55,4,11.95,9,7.55
1.49575,6.51463,1.55,4,11.8,9,7.4
1.49596,6.52462,1.55,4,11.65,9,7.25
1.49616,6.53462,1.56,4,11.5,9,7.1
1.49714,6.62462,1.57,4,11.35,9,6.95
1.49721,6.71462,1.57,4,11.5,9,6.8
1.49728,6.80462,1.57,4,11.65,9,6.65
1.49735,6.89462,1.57,4,11.8,9,6.5
1.49742,6.98462,1.57,4,11.95,9,6.35
1.49749,7.07462,1.57,4,12.1,9,6.2
1.49757,7.16462,1.57,4,12.25,9,6.05
1.49764,7.25462,1.57,4,12.4,9,5.9
1.49764,7.26462,1.57,4,12.55,9,5.75
1.49765,7.27462,1.57,4,12.7,9,5.6
1.49766,7.28462,1.57,4,12.85,9,5.45
1.49767,7.29462,1.57,4,13,9,5.3
1.49768,7.30462,1.57,4,13.15,9,5.15
1.49768,7.31462,1.57,4,13.3,9,5
1.49769,7.32462,1.57,4,13.45,9,4.85
1.4977,7.33462,1.57,4,13.6,9,4.7
1.49771,7.34462,1.57,4,13.75,9,4.55
1.49772,7.35462,1.57,4,13.9,9,4.4
1.49772,7.36462,1.57,4,14.05,9,4.25
1.49773,7.37462,1.57,4,14.2,9,4.1
1.49774,7.38462,1.57,4,14.35,9,3.95
1.49775,7.39462,1.57,4,14.5,9,3.8
1.49776,7.40462,1.57,4,14.65,9,3.65
1.49776,7.41462,1.57,4,14.8,9,3.5
1.49777,7.42462,1.57,4,14.95,9,3.35
1.49778,7.43462,1.57,4,15.1,9,3.2
1.49779,7.44462,1.57,4,15.25,9,3.05
1.4978,7.45462,1.57,4,15.4,9,2.9
1.4978,7.46462,1.57,4,15.55,9,2.75
1.49781,7.47462,1.57,4,15.4,9,2.6
1.49782,7.48462,1.57,4,15.25,9,2.45
1.49783,7.49462,1.57,4,15.1,9,2.6
1.49784,7.50462,1.57,4,14.95,9,2.75
1.49784,7.51462,1.57,4,14.8,9,2.9
1.49785,7.52462,1.57,4,14.65,9,3.05
1.49786,7.53462,1.57,4,14.5,9,3.2
1.49787,7.54462,1.57,4,14.35,9,3.35
1.49788,7.55462,1.57,4,14.2,9,3.5
1.49788,7.56462,1.57,4,14.05,9,3.65
1.49789,7.57463,1.57,4,13.9,9,3.8
1.4979,7.58463,1.57,4,13.75,9,3.95
1.49791,7.59463,1.57,4,13.6,9,4.1
1.49792,7.60463,1.57,4,13.45,9,4.25
1.49792,7.61463,1.57,4,13.3,9,4.4
1.49793,7.62463,1.57,4,13.15,9,4.55
1.49794,7.63463,1.57,4,13,9,4.7
1.49795,7.64463,1.57,4,12.85,9,4.85
1.49796,7.65463,1.57,4,12.7,9,5
1.49796,7.66463,1.57,4,12.55,9,5.15
1.49797,7.67463,1.57,4,12.4,9,5.3
1.49798,7.68463,1.57,4,12.25,9,5.45
1.49799,7.69463,1.57,4,12.1,9,5.6
1.498,7.70463,1.57,4,11.95,9,5.75
1.498,7.71463,1.57,4,11.8,9,5.9
1.49801,7.72463,1.57,4,11.65,9,6.05
1.49802,7.73463,1.57,4,11.5,9,6.2
1.49807,7.79463,1.57,4,11.35,9,6.35
1.49812,7.85463,1.57,4,11.5,9,6.5
1.49816,7.91463,1.57,4,11.65,9,6.65
1.49821,7.97463,1.57,4,11.8,9,6.8
1.49825,8.02463,1.57,4,11.95,9,6.95
1.49829,8.07463,1.57,4,12.1,9,7.1
1.49833,8.12463,1.57,4,12.25,9,7.25
1.49837,8.17463,1.57,4,12.4,9,7.4
1.49838,8.18463,1.57,4,12.55,9,7.55
1.49839,8.19463,1.57,4,12.7,9,7.4
1.49839,8.20463,1.57,4,12.85,9,7.25
1.4984,8.21463,1.57,4,13,9,7.1
1.49841,8.22463,1.57,4,13.15,9,6.95
1.49842,8.23463,1.57,4,13.3,9,6.8
